title,tmdb_id,imdb_id,duration,genres,img,popularity,vote_average,vote_count,year_released
b'heimweh nach st. pauli',b'5855',b'tt0057136',b'102',"b""['music', 'drama']""",b'/lqf3ei9rxvycrb5uc65gwlw1ugj.jpg',b'0.139',b'6.5',b'1',b'1963-08-29'
b'angels of the street',b'5858',b'tt0064287',b'102',"b""['crime', 'drama']""",b'/ewkjejlszep1qq4dl9w9zeld5gp.jpg',b'0.508',b'9.5',b'1',b'1969-10-23'
b'hot traces of st. pauli',b'5859',b'tt0067105',b'83',"b""['thriller', 'crime']""",b'/th6tsaoggsfox9xkuad6wuschv4.jpg',b'0.028',b'0.0',b'0',b'1971-10-14'
b'der geist von st. pauli',b'5868',b'tt0777219',b'8',"b""['comedy']""",b'none',b'0.004',b'0.0',b'0',b'2005-01-01'
b'der pfarrer von st. pauli',b'5869',b'tt0066219',b'90',"b""['drama']""",b'/a3bqa3jszxzlgftfna2v8fshi9w.jpg',b'0.006',b'0.0',b'0',b'1970-01-01'
b'guys & balls',b'5873',b'tt0375911',b'106',"b""['comedy', 'romance']""",b'/gv0vy33m21qoupcj2eqmoaosloc.jpg',b'0.756',b'6.9',b'7',b'2004-10-07'
b'nurses for sale',b'5874',b'tt0067319',b'78',"b""['adventure']""",b'/u0klidzw9v5mosksovgpw76nqrs.jpg',b'0.695',b'5.2',b'3',b'1971-08-25'
b'der hurenstreik - eine liebe auf st. pauli',b'5875',b'tt0187163',b'90',"b""['comedy']""",b'none',b'0.001',b'0.0',b'0',b'1999-02-10'
b'the mist',b'5876',b'tt0884328',b'126',"b""['horror', 'science fiction', 'thriller']""",b'/uyvheubf8itaocup4og9gxxomih.jpg',b'12.055',b'6.7',b'1990',b'2007-11-21'
b'in the realm of the senses',b'5879',b'tt0074102',b'105',"b""['drama', 'romance']""",b'/ztlv3co2ulzmv7yerwbprtmui03.jpg',b'15.821',b'6.5',b'143',b'1976-05-15'
b'twice upon a time',b'5881',b'tt0774756',b'92',"b""['comedy']""",b'/48qgt7yutzvxpyfzdj1egsbswe1.jpg',b'1.349',b'7.4',b'5',b'2006-11-08'
b'raid in st. pauli',b'5888',b'tt0023376',b'74',"b""['crime']""",b'/9khytkvszkvkaw46rzm6hw7mr9w.jpg',b'0.001',b'0.0',b'0',b'1932-05-02'
b'azumi 2: death or love',b'5890',b'tt0431641',b'108',"b""['action']""",b'/m4trwlpyz6inptshlg6gqvykxzi.jpg',b'4.053',b'6.3',b'53',b'2005-03-12'
b'm\xc3\xa4dchenjagd in st. pauli',b'5891',b'tt0402387',b'86',"b""['crime']""",b'/ifsokc2fjppf6pczhtfeakzeflf.jpg',b'0.001',b'0.0',b'0',b'1966-07-29'
b'heiligabend auf st. pauli',b'5893',b'tt0366561',b'51',"b""['documentary']""",b'/sdwxfj2g2nq13rio1ct9hwyqy7t.jpg',b'0.011',b'0.0',b'0',b'1968-12-20'
b'bolero',b'5896',b'tt0086987',b'105',"b""['drama', 'romance']""",b'/atkfxwn1oelqyvtiwt7rtmr8rqv.jpg',b'2.7',b'3.7',b'34',b'1984-08-31'
b'brain dead',b'5898',b'tt0099173',b'85',"b""['horror', 'action', 'thriller', 'science fiction']""",b'/a5eati63r7bdcbuztjbkhmnpezp.jpg',b'2.015',b'5.8',b'25',b'1990-01-16'
b'the northerners',b'5899',b'tt0105019',b'108',"b""['comedy']""",b'/qo4wjok9zqpbppyzszyc5vfacdp.jpg',b'1.817',b'7.1',b'18',b'1992-04-17'
